ka,JP-rubi,JP-kanji,english,exa,EN-sentence,NP1,NP-sentence,JP-question,カンデルサイン,S1,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
320,てつづき,手続き（する）,"procedure, formalities",携帯電話を買って、店で手続きをした。,I bought a cell phone and went through the formalities in the shop.,प्रक्रिया,"मैले मोबाइल फोन किनेर, पसलमा प्रक्रियाहरू पूरा गरें।",携帯電話を買って、店で（　）をした,１,,,,,,,,,,,,,,,,,,,
321,でむかえ,出迎え,meeting,空港でたくさんの人の出迎えを受けた。,I was met by many people at the airport.,स्वागत,मलाई विमानस्थलमा धेरै मानिसहरूले स्वागत गरे।,空港でたくさんの人の（　）を受けた,１,,,,,,,,,,,,,,,,,,,
322,てん,点,point,会社の今の問題は、３つの点にまとめられる。,The company's current problems can be summed up in three points.,बिन्दु,कम्पनीका हालका समस्याहरू तीन बिन्दुमा सारांश गर्न सकिन्छ।,会社の今の問題は、３つの（　）にまとめられる,１,,,,,,,,,,,,,,,,,,,
323,でんげん,電源,electric power source,朝起きると、まずパソコンの電源を入れる。,"When I get up, the first thing I do is switch on the PC's power source.",पावर सोर्स,"जब म बिहान उठ्छु, पहिलो कुरा म कम्प्युटरको पावर सोर्स अन गर्छु।",朝起きると、まずパソコンの（　）を入れる,１,,,,,,,,,,,,,,,,,,,
324,でんごん,伝言（する）,message,木村さんに会うなら、伝言をお願いします。,"If you meet Mr. Kimura, please give him a message.",सन्देश,"यदि तपाईं किमुरालाई भेट्नुहुन्छ भने, कृपया उनलाई एउटा सन्देश दिनुहोस्।",木村さんに会うなら、（　）をお願いします,１,,,,,,,,,,,,,,,,,,,
325,でんとう,伝統,tradition,ふるさとの伝統と文化を守っていきたい。,I want to go on protecting the traditions and culture of my home town.,परम्परा,म मेरो घरको शहरको परम्परा र संस्कृतिको संरक्षण गर्न चाहन्छु।,ふるさとの（　）と文化を守っていきたい,１,,,,,,,,,,,,,,,,,,,
326,でんぱ,電波,electronic/radio waves,地下は電波が届きにくい。,It's hard for electronic waves to pass underground.,"रेडियो तरंग, नेटवर्क",भूमिगत क्षेत्रमा रेडियो नेटवर्क पुग्न गाह्रो हुन्छ।,地下は（　）が届きにくい,１,,,,,,,,,,,,,,,,,,,
327,どう,銅,"copper, bronze",銅は、電線や鍋などさまざまな物に使われる。,"Copper is used in various things like electrical wiring, pans, etc.",तामा,"तामा विभिन्न चीजहरूमा प्रयोग गरिन्छ जस्तै विद्युतीय तार, भाँडा, आदि।",（　）は、電線や鍋などさまざまな物に使われる,１,,,,,,,,,,,,,,,,,,,
328,とうぜん,当然,"naturally, of course",人に物を借りたら、返すのが当然だ。,"If you borrow something from someone, giving it back is a matter of course.",स्वाभाविक,"यदि तपाईं कसैबाट केही सापट लिनुहुन्छ भने, त्यसलाई फिर्ता गर्नु स्वाभाविक कुरा हो।",人に物を借りたら、返すのが（　）だ,１,,,,,,,,,,,,,,,,,,,
329,とうひょう,投票（する）,"ballot, voting",選挙で誰に投票するか、まだ決めていない。,I still haven't decided who to vote for in the election.,मतदान,म अझै निर्वाचनमा कसलाई मतदान गर्ने भनेर निर्णय गरेको छैन।,選挙で誰に（　）するか、まだ決めていない,１,,,,,,,,,,,,,,,,,,,
330,とくしょく,特色,distinctive feature,こちらの商品の特色をご説明します。,I'll explain the distinctive features of this product.,विशिष्ट विशेषता,म यो उत्पादनको विशिष्ट विशेषताहरू व्याख्या गर्नेछु।,こちらの商品の（　）をご説明します,１,,,,,,,,,,,,,,,,,,,
331,とくちょう,特徴,"characteristic, feature",電話で聞いた犯人の声には特徴があった。,The criminal's voice heard over the phone had his characteristic features.,विशेषता,फोनमा सुनिएको अपराधीको आवाजमा उसको विशेषता थियो।,電話で聞いた犯人の声には（　）があった,１,,,,,,,,,,,,,,,,,,,
332,ところどころ,,here and there,この本は、ところどころが破れている。,This book is torn here and there.,जहाँतहीँ,यो पुस्तक जहाँतहीँ च्यातिएको छ।,この本は、（　）が破れている,１,,,,,,,,,,,,,,,,,,,
333,とちゅう,途中,"on the way, en route",毎日、家に帰る途中で買い物をする。,I shop on the way home every day.,बाटोमा,म हरेक दिन घर फर्कने बाटोमा किनमेल गर्छु।,毎日、家に帰る（　）で買い物をする,１,,,,,,,,,,,,,,,,,,,
334,トップ,,"top, first",この間のテストでトップの成績をとった。,I got the top result in the test the other day.,शीर्ष,मैले केही दिन अघिको परीक्षामा शीर्ष नतिजा प्राप्त गरें।,この間のテストで（　）の成績をとった,１,,,,,,,,,,,,,,,,,,,
335,とどけ,届け,written notice/notification,役所に住所変更の届けを出した。,I submitted a change of address notification to the city office.,सूचना,मैले नगरपालिकामा ठेगाना परिवर्तन सूचना पेश गरें।,役所に住所変更の（　）を出した,１,,,,,,,,,,,,,,,,,,,
336,どりょく,努力（する）,effort,演奏家になるには、才能と努力が必要だ。,To become a musician requires talent and effort.,प्रयास,संगीतकार बन्नको लागि प्रतिभा र प्रयास दुवै आवश्यक छ।,演奏家になるには、才能と（　）が必要だ,１,,,,,,,,,,,,,,,,,,,
337,トレーニング,,training,体力を付けるために、トレーニングしている。,I'm training to strengthen my body.,प्रशिक्षण,म मेरो शरीरलाई बलियो बनाउन प्रशिक्षण गरिरहेको छु।,体力を付けるために、（　）している,１,,,,,,,,,,,,,,,,,,,
338,ないよう,内容,content(s),仕事の内容を詳しく教えてください。,Please tell me the contents of the work in detail.,सामग्री,कृपया मलाई कामको सामग्री विस्तृत रूपमा बताउनुहोस्।,仕事の（　）を詳しく教えてください,１,,,,,,,,,,,,,,,,,,,
339,ナイロン,,nylon,この作業用の服はナイロン１００％だ。,The material used in these work clothes is 100% nylon.,नायलन,यी कार्य पोशाकहरूमा प्रयोग भएको सामग्री १००% नायलन हो।,この作業用の服は（　）１００％だ,１,,,,,,,,,,,,,,,,,,,
340,なになに,何々,blah-blah-blah,名刺に何々課、何々担当と書いてある。,"The business card has blah-blah-blah department, blah-blah-blah in charge written on it.",केके,"व्यापारिक कार्डमा केके विभाग, केके प्रभारी लेखिएको छ।",名刺に（　）課、（　）担当と書いてある,１,,,,,,,,,,,,,,,,,,,
341,なま,生,fresh raw,この肉は中がまだ生だ。,This meat is still raw on the inside.,कच्चा,यो मासु भित्रपट्टि अझै कच्चा छ।,この肉は中がまだ（　）だ,１,,,,,,,,,,,,,,,,,,,
342,にせもの,偽物,fake,「その指輪、本物？」「ううん、偽物」,"That ring, is it real? ""No, it's fake.""",नक्कली,"त्यो औंठी, के त्यो वास्तविक हो? ""होइन, त्यो नक्कली हो।""",「その指輪、本物？」「ううん、（　）」,１,,,,,,,,,,,,,,,,,,,
343,にゅうじょう,入場（する）,entrance admission,選手が元気よく入場して来た。,The players entered in a lively manner.,प्रवेश,खेलाडीहरू जोशका साथ प्रवेश गरे।,選手が元気よく（　）して来た,１,,,,,,,,,,,,,,,,,,,
344,にんき,人気,popularity,あの俳優は若い女性に人気がある。,That actor is popular with young women.,लोकप्रियता,ती अभिनेता युवा महिलाहरू बीच लोकप्रिय छन्।,あの俳優は若い女性に（　）がある,１,,,,,,,,,,,,,,,,,,,
345,ネット,,net (Internet),飛行機の中でもインターネットが使える。,You can use the Internet even in an airplane.,इन्टरनेट,हवाईजहाजमा पनि इन्टरनेट प्रयोग गर्न सकिन्छ।,飛行機の中でも（　）が使える,１,,,,,,,,,,,,,,,,,,,
346,ねぼう,寝坊（する）,oversleeping,今日は、寝坊して朝ご飯を食べていない。,Today I overslept so I haven't had breakfast.,ढिलो उठ्नु,आज म ढिलो उठें त्यसैले नास्ता गर्न पाइनँ।,今日は、（　）して朝ご飯を食べていない,１,,,,,,,,,,,,,,,,,,,
347,ねんがじょう,年賀状,New Year's card,毎年、年賀状を１００枚出す。,I send 100 New Year's cards every year.,नयाँ वर्षको शुभकामना कार्ड,म हरेक वर्ष १०० नयाँ वर्षको शुभकामना कार्ड पठाउँछु।,毎年、（　）を１００枚出す,１,,,,,,,,,,,,,,,,,,,
348,のうぎょう,農業,agriculture farming,会社をやめて、家の農業を手伝うことにした。,I quit the company and decided to help on the family farm.,कृषि,मैले कम्पनी छोडें र परिवारको खेतीमा मद्दत गर्ने निर्णय गरें।,会社をやめて、家の（　）を手伝うことにした,１,,,,,,,,,,,,,,,,,,,
349,のうりつ,能率,efficiency,仕事の能率を上げる方法を考えた。,I thought about ways of increasing work efficiency.,दक्षता,मैले कामको दक्षता बढाउने तरिकाहरूको बारेमा सोचें।,仕事の（　）を上げる方法を考えた,１,,,,,,,,,,,,,,,,,,,
350,ノック,,knock,ドアをノックすると、「どうぞ」と声がした。,"When I knocked on the door, I heard a voice say, ""Enter.""",ढक्ढकाउनु,"मैले ढोका ढक्ढकाउँदा, ""भित्र आउनुहोस्"" भन्ने आवाज सुनें।",ドアを（　）すると、「どうぞ」と声がした,１,,,,,,,,,,,,,,,,,,,
351,はいたつ,配達（する）,delivery,毎日、牛乳を配達してもらっている。,I have milk delivered every day.,वितरण,मेरोमा हरेक दिन दूध डेलिभरी हुन्छ।,毎日、牛乳を（　）してもらっている,１,,,,,,,,,,,,,,,,,,,
352,はくしゅ,拍手（する）,"clapping, applause",彼の歌が終わると、観客は大きな拍手をした。,"When he finished his song, the audience clapped a great deal.",तालि,"उनको गीत सकिएपछि, दर्शकहरूले ठूलो तालि बजाए।",彼の歌が終わると、観客は大きな（　）をした,１,,,,,,,,,,,,,,,,,,,
353,パスポート,,passport,留学するために、パスポートを用意した。,I got my passport ready in order to study abroad.,राहदानी,विदेशमा अध्ययन गर्नको लागि मैले मेरो राहदानी तयार गरें।,留学するために、（　）を用意した,１,,,,,,,,,,,,,,,,,,,
354,パスワード,,password,パスワードは他人に教えないでください。,Please do not tell other people your password.,पासवर्ड,कृपया आफ्नो पासवर्ड अरूलाई नबताउनुहोस्।,（　）は他人に教えないでください,１,,,,,,,,,,,,,,,,,,,
355,はた,旗,flag,旗を振って選手を応援した。,We waved our flags and supported our players.,झण्डा,हामीले झण्डा हल्लाउँदै हाम्रा खेलाडीहरूलाई समर्थन गर्यौं।,（　）を振って選手を応援した,１,,,,,,,,,,,,,,,,,,,
356,はっけん,発見（する）,discovery,小学生が新しい星を発見した。,An elementary school student discovered a new star.,खोज,एक प्राथमिक विद्यालयका विद्यार्थीले एउटा नयाँ तारा पत्ता लगाए।,小学生が新しい星を（　）した,１,,,,,,,,,,,,,,,,,,,
357,はつげん,発言（する）,speech/remark,会議では積極的に発言してください。,Please speak positively in the meeting.,अभिव्यक्ति,बैठकमा सक्रिय रूपमा बोल्नुहोस्।,会議では積極的に（　）してください,１,,,,,,,,,,,,,,,,,,,
358,はっこう,発行（する）,publication,友達と地域新聞を発行している。,My friend and I publish a local newspaper.,प्रकाशन,म र मेरो साथीले स्थानीय समाचारपत्र प्रकाशित गर्दैछौं।,友達と地域新聞を（　）している,１,,,,,,,,,,,,,,,,,,,
359,はっせい,発生（する）,occurrence,交差点で交通事故が発生した。,A traffic accident occurred at the intersection.,उत्पन्न,चौबाटोमा एउटा ट्राफिक दुर्घटना भयो।,交差点で交通事故が（　）した,１,,,,,,,,,,,,,,,,,,,
360,はったつ,発達（する）,development/progress,子供の言葉は２歳頃に急に発達する。,Children's vocabulary suddenly begins to develop around the age of two.,विकास,बच्चाहरूको शब्दावली दुई वर्षको उमेर आसपासमा अचानक विकसित हुन थाल्छ।,子供の言葉は２歳頃に急に（　）する,１,,,,,,,,,,,,,,,,,,,
361,はつばい,発売（する）,putting on sale/release,新しい日本語の辞書が発売された。,A new Japanese dictionary has been released.,बिक्री,एउटा नयाँ जापानी शब्दकोश बिक्रीमा आएको छ।,新しい日本語の辞書が（　）された,１,,,,,,,,,,,,,,,,,,,
362,はっぴょう,発表（する）,announcement/presentation,A社は新しい社長の名前を発表した。,Company A announced the name of the new president.,घोषणा,कम्पनी A ले नयाँ अध्यक्षको नाम घोषणा गर्‍यो।,A社は新しい社長の名前を（　）した,１,,,,,,,,,,,,,,,,,,,
363,はつめい,発明（する）,invention,この商品は主婦が発明した。,A housewife invented this product.,आविष्कार,एउटी गृहिणीले यो उत्पादन आविष्कार गरिन्।,この商品は主婦が（　）した,１,,,,,,,,,,,,,,,,,,,
364,はば,幅,width,道路の幅が狭くて、車が通れない。,"Because the width of this road is narrow, cars can't get by.",चौडाई,"यो सडकको चौडाई साँघुरो भएकोले, कारहरू गुज्रन सक्दैनन्।",道路の（　）が狭くて、車が通れない,１,,,,,,,,,,,,,,,,,,,
365,ばめん,場面,scene,二人が別れる場面で泣いてしまった。,I cried at the scene when the couple split up.,दृश्य,जोडी छुट्टिएको दृश्यमा म रोएँ।,二人が別れる（　）で泣いてしまった,１,,,,,,,,,,,,,,,,,,,
366,はやおき,早起き（する）,getting up early,夏は、早起きして午前中に勉強する。,In summer I get up early and study in the mornings.,चाँडो उठ्ने,"गर्मीमा, म चाँडै उठ्छु र बिहानमा अध्ययन गर्छु।",夏は、（　）して午前中に勉強する,１,,,,,,,,,,,,,,,,,,,
367,はんざい,犯罪,crime,インターネットを使った犯罪が増えている。,Crimes using the Internet are increasing.,अपराध,इन्टरनेट प्रयोग गरेर गरिने अपराधहरू बढ्दैछन्।,インターネットを使った（　）が増えている,１,,,,,,,,,,,,,,,,,,,
368,はんせい,反省（する）,reflection,試験の結果を見て、勉強不足を反省した。,I saw my exam results and reflected on my lack of study.,प्रतिबिम्ब,मैले मेरो परीक्षाको नतिजा हेरें र अध्ययनको कमीको बारेमा प्रतिबिम्बित गरें।,試験の結果を見て、勉強不足を（　）した,１,,,,,,,,,,,,,,,,,,,
369,はんだん,判断（する）,judgement/decision,政府は景気がよくなると判断した。,The government judged that the economy would improve.,निर्णय,सरकारले अर्थतन्त्र सुधार हुनेछ भनी निर्णय गर्‍यो।,政府は景気がよくなると（　）した,１,,,,,,,,,,,,,,,,,,,
370,はんにん,犯人,criminal,犯人は逃げて、まだ捕まっていない。,The criminal escaped and still hasn't been caught.,अपराधी,अपराधी भागेको छ र अझै पक्राउ परेको छैन।,（　）は逃げて、まだ捕まっていない,１,,,,,,,,,,,,,,,,,,,
371,ひあたり,日当たり,sunny/sunshine,この家は日当たりがいい。,This house gets plenty of sunshine.,घाम,यो घरमा प्रशस्त घाम पर्छ।,この家は（　）がいい,１,,,,,,,,,,,,,,,,,,,
372,ひがえり,日帰り,day trip,両親は日帰りの旅行に出掛けた。,My parents have left on a day trip.,एकदिने भ्रमण,मेरा बुबाआमा एकदिने भ्रमणमा जानुभएको छ।,両親は（　）の旅行に出掛けた,１,,,,,,,,,,,,,,,,,,,
373,ひかく,比較（する）,comparison,国の文化と日本の文化を比較した。,I compared Japanese culture with my country's culture.,तुलना,मैले जापानी संस्कृति र मेरो देशको संस्कृतिको तुलना गरें।,国の文化と日本の文化を（　）した,１,,,,,,,,,,,,,,,,,,,
374,ひさしぶり,久しぶり,after a long time,久しぶりに学生時代の友達に会った。,I met a friend from my school days after a long time.,लामो समयपछि,धेरै लामो समयपछि मैले मेरो विद्यालय दिनका साथीसँग भेटें।,（　）に学生時代の友達に会った,１,,,,,,,,,,,,,,,,,,,
375,ひっこし,引っ越し（する）,moving (house),引っ越しは来週の日曜日です。,I'm moving Sunday of next week.,घर सर्दैछु।,म अर्को हप्ताको आइतबार घर सर्दैछु।,（　）は来週の日曜日です,１,,,,,,,,,,,,,,,,,,,
376,ひとりひとり,一人一人,one by one,先生は成績表を子供たち一人一人に渡した。,The teacher gave out the grade reports to the children one by one.,एक-एक गरी,शिक्षकले बच्चाहरूलाई एक-एक गरी ग्रेड रिपोर्ट वितरण गर्नुभयो।,先生は成績表を子供たち（　）に渡した,１,,,,,,,,,,,,,,,,,,,
377,ビニール,,vinyl/plastic,ぬれた水着をビニールの袋に入れた。,I put the wet swimsuit in a plastic bag.,प्लास्टिक,मैले भिजेको स्विमसुट प्लास्टिकको झोलामा राखें।,ぬれた水着を（　）の袋に入れた,１,,,,,,,,,,,,,,,,,,,
378,ひみつ,秘密,secret,この話は秘密にしてください。,Please keep this conversation a secret.,गोप्य,कृपया यो कुराकानी गोप्य राख्नुहोला।,この話は（　）にしてください,１,,,,,,,,,,,,,,,,,,,
379,ひょうし,表紙,book cover,表紙の絵を見て、面白そうな本だと思った。,I saw the picture on the cover and thought it looked an interesting book.,कभर,मैले किताबको कभरमा चित्र हेरें र रोचक किताब जस्तो लाग्यो।,（　）の絵を見て、面白そうな本だと思った,１,,,,,,,,,,,,,,,,,,,
380,ひょうじゅん,標準,standard,私は身長も体重も大体標準だ。,Both my height and weight are almost standard.,मानक,मेरो उचाइ र वजन दुवै लगभग मानक छन्।,私は身長も体重も大体（　）だ,１,,,,,,,,,,,,,,,,,,,
381,ひょうばん,評判,reputation,あのレストランは味が良いと評判だ。,That restaurant has a reputation for tasty food.,प्रतिष्ठा,त्यो रेस्टुरेन्ट स्वादिष्ट खानाको लागि प्रतिष्ठित छ।,あのレストランは味が良いと（　）だ,１,,,,,,,,,,,,,,,,,,,
382,ひょうめん,表面,surface,太陽の表面の温度は約６０００度だ。,"The surface of the sun has a temperature of 6,000 degrees.",सतह,"सूर्यको सतहको तापक्रम लगभग ६,००० डिग्री छ।",太陽の（　）の温度は約６０００度だ,１,,,,,,,,,,,,,,,,,,,
383,ひるね,昼寝（する）,afternoon nap,子供が昼寝をしているから、静かにして。,"The child is having his afternoon nap, so please be quiet.",दिउँसोको सुताइ,"बच्चा दिउँसोको सुताइमा छ, कृपया शान्त रहनुहोस्।",子供が（　）をしているから、静かにして,１,,,,,,,,,,,,,,,,,,,
384,ヒント,,hint,難しい問題なので、ヒントが欲しい。,"This is a difficult question, so I want a hint.",संकेत,"यो एउटा कठिन प्रश्न हो, त्यसैले मलाई केही संकेत चाहिन्छ।",難しい問題なので、（　）が欲しい,１,,,,,,,,,,,,,,,,,,,
385,ふそく,不足（する）,insufficiency/shortage,パンとコーヒーだけだと、栄養が不足する。,"If all you have is bread and coffee, you'll be lacking in nutrition.",कमी,"यदि तपाईंसँग रोटी र कफी मात्र छ भने, तपाईंलाई पोषणको कमी हुनेछ।",パンとコーヒーだけだと、栄養が（　）する,１,,,,,,,,,,,,,,,,,,,
386,ぶぶん,部分,part,レポートの最後の部分を書き直した。,I rewrote the last part of the report.,भाग,मैले प्रतिवेदनको अन्तिम भाग पुनः लेखें।,レポートの最後の（　）を書き直した,１,,,,,,,,,,,,,,,,,,,
387,プラスチック,,plastic,プラスチックは、すぐ燃える。,Plastic burns right away.,प्लास्टिक,प्लास्टिक तुरुन्तै जल्छ।,（　）は、すぐ燃える,１,,,,,,,,,,,,,,,,,,,
388,プリント,,print/handout,会議の資料をプリントした。,I printed the documents for the meeting.,प्रिन्ट,मैले बैठकको लागि कागजातहरू प्रिन्ट गरें।,会議の資料を（　）した,１,,,,,,,,,,,,,,,,,,,
389,ふるさと,,hometown,私のふるさとの食べ物を紹介します。,I'll introduce some dishes from my hometown.,गृह नगर,म मेरो गृह नगरबाट केही परिकारहरू परिचय गराउँछु।,私の（　）の食べ物を紹介します,１,,,,,,,,,,,,,,,,,,,
390,ブログ,,blog,彼は毎日の出来事をブログに載せている。,He posts his daily happenings on a blog.,ब्लग,उहाँले आफ्नो दैनिक गतिविधिहरू ब्लगमा पोस्ट गर्नुहुन्छ।,彼は毎日の出来事を（　）に載せている,１,,,,,,,,,,,,,,,,,,,
391,プログラム,,program,音楽祭のプログラムを見せてください。,Please let me see the concert program.,कार्यक्रम,कृपया मलाई सङ्गीत समारोहको कार्यक्रम देखाउनुहोस्।,音楽祭の（　）を見せてください,１,,,,,,,,,,,,,,,,,,,
392,プロポーズ,,propose,突然、彼がプロポーズしたので驚いた。,"As he suddenly proposed, I was shocked.",प्रस्ताव,उहाँले अचानक विवाहको प्रस्ताव राख्नुभएकोले म छक्क परें।,突然、彼が（　）したので驚いた,１,,,,,,,,,,,,,,,,,,,
393,ふんいき,雰囲気,atmosphere,このレストランは雰囲気がとてもいい。,This restaurant has a really good atmosphere.,वातावरण,यो रेस्टुरेन्टमा साँच्चै राम्रो वातावरण छ।,このレストランは（　）がとてもいい,１,,,,,,,,,,,,,,,,,,,
394,へいきん,平均（する）,average,平均すると、１か月に１５万円の収入がある。,"On average, income is about 150,000 yen a month.",औसत,"औसतमा, मासिक आय लगभग १५०,००० येन हुन्छ।",（　）すると、１か月に１５万円の収入がある,１,,,,,,,,,,,,,,,,,,,
395,べつべつ,別々,separately/apart,小学校から兄とは別々の部屋になった。,My older brother and I went into separate rooms from elementary school.,अलग-अलग,प्राथमिक विद्यालयदेखि नै मेरो दाजु र म अलग-अलग कोठामा बस्यौं।,小学校から兄とは（　）の部屋になった,１,,,,,,,,,,,,,,,,,,,
396,へんか,変化（する）,change/variation,朝と晩で気温が大きく変化する。,The temperature changes greatly between morning and evening.,परिवर्तन,बिहान र साँझको बीचमा तापक्रममा ठूलो परिवर्तन हुन्छ।,朝と晩で気温が大きく（　）する,１,,,,,,,,,,,,,,,,,,,
397,へんこう,変更（する）,change/alteration,美容院の予約時間を変更してもらった。,The hair salon changed my appointment for me.,परिवर्तन,ब्युटी सलोनले मेरो लागि भेट्ने समय परिवर्तन गरिदियो।,美容院の予約時間を（　）してもらった,１,,,,,,,,,,,,,,,,,,,
398,へんしん,返信（する）,reply,友達から来たメールに返信した。,I replied to the e-mail I received from my friend.,जवाफ,मैले साथीबाट आएको इमेलको जवाफ दिएँ।,友達から来たメールに（　）した,１,,,,,,,,,,,,,,,,,,,
399,ポインター,,pointer/cursor,マウスの調子が変で、ポインターが動かない。,"The mouse is acting strange, and the cursor won't move.",पोइन्टर,"माउस अनौठो कामकाज गरिरहेको छ, र पोइन्टरले काम गरिरहेको छैन।",マウスの調子が変で、（　）が動かない,１,,,,,,,,,,,,,,,,,,,
400,ぼうえき,貿易（する）,trade,日本の主な貿易の相手国はアメリカと中国だ。,Japan's main trading partners are the U.S. and China.,व्यापार,जापानका मुख्य व्यापारिक साझेदारहरू अमेरिका र चीन हुन्।,日本の主な（　）の相手国はアメリカと中国だ,１,,,,,,,,,,,,,,,,,,,
401,ほうげん,方言,dialect,いつも、ふるさとの友達とは方言で話す。,I always talk in dialect to my hometown friends.,बोली,म सधैं मेरो गृहनगरका साथीहरूसँग स्थानीय बोलीमा कुरा गर्छु।,いつも、ふるさとの友達とは（　）で話す,１,,,,,,,,,,,,,,,,,,,
402,ほうこく,報告（する）,report,課長に仕事の報告をした。,I gave a report on the work to the section manager.,प्रतिवेदन,मैले शाखा प्रबन्धकलाई कामको प्रतिवेदन दिएँ।,課長に仕事の（　）をした,１,,,,,,,,,,,,,,,,,,,
403,ぼうし,防止（する）,prevention,事故を防止するために、機械をチェックする。,"In order to prevent accidents, we check the machines.",रोकथाम,"दुर्घटना रोक्नको लागि, हामी मेशिनहरूको जाँच गर्छौं।",事故を（　）するために、機械をチェックする,１,,,,,,,,,,,,,,,,,,,
404,ぼうねんかい,忘年会,year-end party,今年の忘年会は、すき焼き屋でやりませんか。,This year why don't we have the year-end party at a sukiyaki restaurant?,वर्ष समापन पार्टी,यस वर्ष हामी सुकियाकी रेस्टुरेन्टमा वर्ष समापन पार्टी गर्न सक्छौं?,今年の（　）は、すき焼き屋でやりませんか,１,,,,,,,,,,,,,,,,,,,
405,ほうほう,方法,method,実験の方法をいろいろ考えた。,I thought about the experiment method in various ways.,विधि,मैले प्रयोगको विधिको बारेमा विभिन्न तरिकाले सोचें।,実験の（　）をいろいろ考えた,１,,,,,,,,,,,,,,,,,,,
406,ほうもん,訪問（する）,visit,結婚した友達の家を訪問した。,I visited the home of a friend who had married.,भ्रमण,मैले विवाहित साथीको घर भ्रमण गरें।,結婚した友達の家を（　）した,１,,,,,,,,,,,,,,,,,,,
407,ほうりつ,法律,law,政府も国民も法律を守らなければならない。,Both the government and the people must obey the law.,कानून,सरकार र नागरिक दुवैले कानूनको पालना गर्नुपर्छ।,政府も国民も（　）を守らなければならない,１,,,,,,,,,,,,,,,,,,,
408,ホームシック,,homesickness,来日して半年は、よくホームシックになった。,I came to Japan and for half a year I often suffered from homesickness.,होम सिक,जापान आएपछि आधा वर्षसम्म मलाई प्रायः होम सिक हुन्थ्यो।,来日して半年は、よく（　）になった,１,,,,,,,,,,,,,,,,,,,
409,ホームステイ,,homestay,アメリカで１か月ホームステイをした。,I did a month's homestay in the U.S.,होमस्टे,म अमेरिकामा एक महिना होमस्टेमा बसें।,アメリカで１か月（　）をした,１,,,,,,,,,,,,,,,,,,,
410,ホームページ,,homepage,大学のサークルのホームページを作りたい。,I want to make the homepage for my circle at university.,होमपेज,म विश्वविद्यालयको मेरो सर्कलको लागि होमपेज बनाउन चाहन्छु।,大学のサークルの（　）を作りたい,１,,,,,,,,,,,,,,,,,,,
411,ぼしゅう,募集（する）,recruitment,レストランでアルバイトを募集している。,The restaurant is recruiting part-time staff.,भर्ना,रेस्टुरेन्टले पार्ट-टाइम कर्मचारी भर्ना गर्दैछ।,レストランでアルバイトを（　）している,１,,,,,,,,,,,,,,,,,,,
412,ポスター,,poster,祭りのポスターを壁に貼った。,I put the festival poster on the wall.,पोस्टर,मैले उत्सवको पोस्टर भित्तामा टाँसें।,祭りの（　）を壁に貼った,１,,,,,,,,,,,,,,,,,,,
413,ほぞん,保存（する）,preservation/storing,野菜を保存するときは、冷蔵庫の野菜室で。,"As to storing vegetables, place them in the vegetable box in the fridge.",संरक्षण,"तरकारी संरक्षण गर्दा, तिनीहरूलाई फ्रिजको तरकारी बक्समा राख्नुहोस्।",野菜を（　）するときは、冷蔵庫の野菜室で,１,,,,,,,,,,,,,,,,,,,
414,ボランティア,,volunteer,父はボランティアで観光ガイドをしている。,My father is working as a volunteer tour guide.,स्वयंसेवक,मेरा बुबा स्वयंसेवक पर्यटक गाइडको रूपमा काम गर्दै हुनुहुन्छ।,父は（　）で観光ガイドをしている,１,,,,,,,,,,,,,,,,,,,
415,ほんしゃ,本社,head office/headquarters,来月、兄は大阪の支社から東京の本社に移る。,"Next month, my older brother will move from the Osaka branch office to the Tokyo head office.",मुख्य कार्यालय,"अर्को महिना, मेरो दाइ ओसाका शाखा कार्यालयबाट टोक्यो मुख्य कार्यालयमा सर्नेछ।",来月、兄は大阪の支社から東京の（　）に移る,１,,,,,,,,,,,,,,,,,,,
416,ほんもの,本物,real thing,このダイヤモンドは本物です。,This diamond is real.,वास्तविक,यो हीरा वास्तविक हो।,このダイヤモンドは（　）です,１,,,,,,,,,,,,,,,,,,,
417,ほんやく,翻訳（する）,translation,将来、翻訳の仕事がしたい。,In the future I want to do translation work.,अनुवाद,"भविष्यमा, म अनुवाद काम गर्न चाहन्छु।",将来、（　）の仕事がしたい,１,,,,,,,,,,,,,,,,,,,
418,マーク,,mark,覚えた単語にマークを付けよう。,Mark the words you've learned.,चिन्ह,तपाईंले सिकेका शब्दहरूमा चिन्ह लगाउनुहोस्।,覚えた単語に（　）を付けよう,１,,,,,,,,,,,,,,,,,,,
419,まちあわせ,待ち合わせ（する）,meeting (by appointment),６時に友達と待ち合わせをした。,I arranged to meet my friend at six o'clock.,भेट,म ६ बजे मेरो साथीसँग भेट्ने व्यवस्था गरें।,６時に友達と（　）をした,１,,,,,,,,,,,,,,,,,,,
420,マナーモード,,manner/silent mode,電車の中では携帯電話をマナーモードにする。,I switch my cell phone to manner mode on the train.,मानर मोड,"रेलमा, म मेरो मोबाइल फोनलाई मानर मोडमा राख्छु।",電車の中では携帯電話を（　）にする,１,,,,,,,,,,,,,,,,,,,
421,マニュアル,,manual,マニュアルを読めば、使い方が分かる。,"If you read the manual, you'll understand how to use it.",म्यानुअल,"यदि तपाईंले म्यानुअल पढ्नुभयो भने, तपाईंले यसको प्रयोग गर्ने तरिका बुझ्नुहुनेछ।",（　）を読めば、使い方が分かる,１,,,,,,,,,,,,,,,,,,,
