ka,JP-rubi,JP-kanji,english,exa,EN-sentence,NP1,NP-sentence,JP-question,カンデルサイン,S1,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
141,こうじ,工事（する）,construction work,家の前の道路を工事している。,They are doing construction work on the road in front of the house.,निर्माण कार्य,उनीहरू घरको अगाडिको सडकमा निर्माण कार्य गरिरहेका छन्।,家の前の道路を（　）している,,,,,,,,,,,,,,,,,,,,
142,こうどう,行動（する）,"action, behavior",今は考えるより行動することが大事だ。,"At the moment, acting is more important than thinking.",क्रिया,"अहिले, सोच्नुभन्दा क्रिया गर्नु बढी महत्त्वपूर्ण छ।",今は考えるより（　）することが大事だ,,,,,,,,,,,,,,,,,,,,
143,こうりつ,公立,public,公立の学校は、私立に比べて学費が安い。,"In comparison with private schools, public school fees are cheaper.",सरकारी,"निजी विद्यालयहरूको तुलनामा, सरकारी विद्यालयको शुल्क सस्तो छ।",（　）の学校は、私立に比べて学費が安い,,,,,,,,,,,,,,,,,,,,
144,こうりゅう,交流（する）,"interchange, interaction",いろいろな国の人と交流するのは楽しい。,It's enjoyable to interact with people from various countries.,आदान प्रदान,विभिन्न देशका मानिसहरूसँग आदान प्रदान गर्न रमाइलो छ।,いろいろな国の人と（　）するのは楽しい,,,,,,,,,,,,,,,,,,,,
145,コース,,course,台風は九州に向かうコースをとっている。,The typhoon has taken a course heading for Kyushu.,मार्ग,आँधी क्युशु तर्फको मार्गमा अघि बढिरहेको छ।,台風は九州に向かう（　）をとっている,,,,,,,,,,,,,,,,,,,,
146,コーナー,,"corner, area",学校には進学相談をするコーナーがある。,There's a consultation area on higher education in the school.,कुना,विद्यालयमा उच्च शिक्षा सम्बन्धी परामर्शको लागि एउटा कुना छ।,学校には進学相談をする（　）がある,,,,,,,,,,,,,,,,,,,,
147,ゴール,,"goal, finish line",マラソン選手はゴールを目指して走った。,The marathon runners ran to the finish line.,लक्ष्य,म्याराथन धावकहरू लक्ष्य तर्फ दौडे।,マラソン選手は（　）を目指して走った,,,,,,,,,,,,,,,,,,,,
148,ごかい,誤解（する）,"misunderstanding, mistake",二人は誤解が原因で別れた。,They broke up as a result of a misunderstanding.,गलत बुझाइ,गलत बुझाइको कारणले उनीहरू छुट्टिए।,二人は（　）が原因で別れた,,,,,,,,,,,,,,,,,,,,
149,こがた,小型,small-size,小型で軽いパソコンが人気だ。,"Small-size, light PCs are popular.",सानो आकार,सानो आकार र हलुका पीसीहरू लोकप्रिय छन्।,（　）で軽いパソコンが人気だ,,,,,,,,,,,,,,,,,,,,
150,こくさん,国産,"domestically made, home-grown",このレモンは国産です。,These lemons are home-grown.,स्वदेशी,यी कागतीहरू स्वदेशी उत्पादन हुन्।,このレモンは（　）です,,,,,,,,,,,,,,,,,,,,
151,こくりつ,国立,national,国立の大学に進学したい。,I want to enter a national university.,राष्ट्रिय,म राष्ट्रिय विश्वविद्यालयमा प्रवेश गर्न चाहन्छु।,（　）の大学に進学したい,,,,,,,,,,,,,,,,,,,,
152,こころ,心,"heart, mind",誰も他の人の心は分からない。,No one understands what's in another person's mind.,मन,कसैले पनि अरू व्यक्तिको मनको कुरा बुझ्दैन।,誰も他の人の（　）は分からない,,,,,,,,,,,,,,,,,,,,
153,こしょう,故障（する）,breakdown,車が故障して、動かない。,The car's broken down and won't move.,बिग्रनु,गाडी बिग्रेको छ र चल्दैन।,車が（　）して、動かない,,,,,,,,,,,,,,,,,,,,
154,こっかい,国会,"the Diet, national assembly",国会で新しい法律が決まった。,A new law was approved in the Diet.,संसद,नयाँ कानून संसदमा पारित भयो।,（　）で新しい法律が決まった,,,,,,,,,,,,,,,,,,,,
155,こづつみ,小包,package,国の母から小包が届いた。,A package has arrived from my mother back home.,पार्सल,मेरो आमाबाट स्वदेशबाट एउटा पार्सल आइपुग्यो।,国の母から（　）が届いた,,,,,,,,,,,,,,,,,,,,
156,こな,粉,"powder, flour",このパンは米の粉で作りました。,This bread was made with rice flour.,पिठो,यो रोटी चामलको पिठोले बनाइएको थियो।,このパンは米の（　）で作りました,,,,,,,,,,,,,,,,,,,,
157,ごぶさた,ご無沙汰（する）,long time/no contact,ごぶさたしておりますが、お元気ですか。,It's been a long time since I last contacted you. How are you?,लामो समयको अन्तराल,धेरै समयदेखि सम्पर्कमा हुन नसकेकोमा क्षमा चाहन्छु। तपाईंलाई कस्तो छ?,（　）しておりますが、お元気ですか,,,,,,,,,,,,,,,,,,,,
158,コミュニケーション,,communication,親子のコミュニケーションは大切だと思う。,I think communication between parent and child is important.,सञ्चार,म अभिभावक र बच्चाबीचको सञ्चार महत्त्वपूर्ण छ भन्ने सोच्छु।,親子の（　）は大切だと思う,,,,,,,,,,,,,,,,,,,,
159,ゴム,ゴム,"rubber, elastic",古いゴムの手袋を使ったら、すぐ破れた。,"When I used old rubber gloves, they soon tore.",रबर,"जब मैले पुरानो रबरको पञ्जा प्रयोग गरें, ती तुरुन्तै फाटे।",古い（　）の手袋を使ったら、すぐ破れた,,,,,,,,,,,,,,,,,,,,
160,こむぎ,小麦,wheat,日本は小麦をたくさん輸入している。,Japan imports a lot of wheat.,गहुँ,जापानले धेरै गहुँ आयात गर्छ।,日本は（　）をたくさん輸入している,,,,,,,,,,,,,,,,,,,,
161,コンクール,,contest,彼女はピアノのコンクールで優勝した。,She won a piano contest.,प्रतियोगिता,उनले पियानो प्रतियोगितामा जित हासिल गरिन्।,彼女はピアノの（　）で優勝した,,,,,,,,,,,,,,,,,,,,
162,コンクリート,,concrete,コンクリートの建物は熱や水に強い。,Concrete buildings are resistant to heat and water.,कंक्रीट,कंक्रीटका भवनहरू ताप र पानी प्रतिरोधी हुन्छन्।,（　）の建物は熱や水に強い,,,,,,,,,,,,,,,,,,,,
163,サービス,,service,このホテルはきれいで、サービスがいい。,This hotel is clean and the service is good.,सेवा,यो होटल सफा छ र सेवा राम्रो छ।,このホテルはきれいで、（　）がいい,,,,,,,,,,,,,,,,,,,,
164,さいこう,最高,highest,先週の試験はクラスの最高が９０点だった。,"In last week's examination, the class's highest score was 90 points.",सर्वोच्च,गत हप्ताको परीक्षामा कक्षाको सर्वोच्च अंक ९० थियो।,先週の試験はクラスの（　）が９０点だった,,,,,,,,,,,,,,,,,,,,
165,さいだい,最大,biggest,琵琶湖は日本で最大の湖だ。,Lake Biwa is Japan's largest lake.,सबैभन्दा ठूलो,बिवा ताल जापानको सबैभन्दा ठूलो ताल हो।,琵琶湖は日本で（　）の湖だ,,,,,,,,,,,,,,,,,,,,
166,さいてい,最低,lowest,先週のテストは学年の最低が２０点だった。,"In last week's test, the school year's lowest score was 20 points.",न्यूनतम,गत हप्ताको परीक्षामा विद्यालय वर्षको न्यूनतम अंक २० थियो।,先週のテストは学年の（　）が２０点だった,,,,,,,,,,,,,,,,,,,,
167,さいばん,裁判,trial,この事件の裁判には皆が注目している。,Everyone is paying attention to the trial of this case.,मुद्दा,यस घटनाको मुद्दामा सबैको ध्यान केन्द्रित छ।,この事件の（　）には皆が注目している,,,,,,,,,,,,,,,,,,,,
168,ざいりょう,材料,"ingredients, material",料理の材料を買いに行く。,I'll go to buy some cooking ingredients.,सामग्री,म खाना पकाउने केही सामग्री किन्न जानेछु।,料理の（　）を買いに行く,,,,,,,,,,,,,,,,,,,,
169,サイレン,サイレン,siren,深夜、救急車のサイレンで目が覚めた。,"Late at night, I was awoken by an ambulance siren.",साइरन,"मध्यरातमा, म एम्बुलेन्सको साइरनले ब्युँझिएँ।",深夜、救急車の（　）で目が覚めた,,,,,,,,,,,,,,,,,,,,
170,サイン,サイン（する）,"sign, signature",判こがなかったら、サインでもいいです。,"If you don't have a stamp, it's okay to sign.",हस्ताक्षर,"यदि तपाईंसँग छाप छैन भने, हस्ताक्षर गर्न पनि ठिक छ।",判こがなかったら、（　）でもいいです,,,,,,,,,,,,,,,,,,,,
171,さぎょう,作業（する）,"work, operation",製品を箱に詰める作業をした。,I did work putting goods into boxes.,कार्य,मैले वस्तुहरूलाई बाकसमा भर्ने कार्य गरें।,製品を箱に詰める（　）をした,,,,,,,,,,,,,,,,,,,,
172,さくひん,作品,"work of art, production",好きな画家の作品を少しずつ集めている。,I'm collecting works of art by my favorite painter little by little.,कृति,म मेरो मनपर्ने चित्रकारको कृतिहरू बिस्तारै संकलन गर्दैछु।,好きな画家の（　）を少しずつ集めている,,,,,,,,,,,,,,,,,,,,
173,さつえい,撮影（する）,"filming, shooting",近所で映画の撮影をしていた。,They were shooting a movie in the neighborhood.,छायांकन,उनीहरूले छिमेकमा एउटा फिल्म छायांकन गरिरहेका थिए।,近所で映画の（　）をしていた,,,,,,,,,,,,,,,,,,,,
174,さわぎ,騒ぎ,"commotion, disturbance",けんかの騒ぎを聞いて、警官が来た。,The police came on hearing the sound of a fight.,हल्ला,झगडाको हल्ला सुनेर प्रहरीहरू आए।,けんかの（　）を聞いて、警官が来た,,,,,,,,,,,,,,,,,,,,
175,さんか,参加（する）,participation,地域のお祭りに参加した。,I participated in a local festival.,सहभागी,म स्थानीय चाडपर्वमा सहभागी भएँ।,地域のお祭りに（　）した,,,,,,,,,,,,,,,,,,,,
176,さんぎょう,産業,industry,観光は、この島でいちばん重要な産業だ。,Tourism is the most important industry on this island.,उद्योग,पर्यटन यस टापुको सबैभन्दा महत्त्वपूर्ण उद्योग हो।,観光は、この島でいちばん重要な（　）だ,,,,,,,,,,,,,,,,,,,,
177,ざんぎょう,残業（する）,overtime,仕事が忙しくて、毎日残業が続いている。,"My work is busy, so I've been working overtime every day.",अतिरिक्त समय काम,"मेरो काम व्यस्त छ, त्यसैले म हरेक दिन अतिरिक्त समय काम गर्दैछु।",仕事が忙しくて、毎日（　）が続いている,,,,,,,,,,,,,,,,,,,,
178,さんこう,参考,"reference, consultation",雑誌の記事などを参考にして、就職を決めた。,I decided on my job by referring to some magazine articles.,सन्दर्भ,मैले केही पत्रिकाका लेखहरूलाई सन्दर्भको रूपमा लिएर जागिरको बारेमा निर्णय गरें।,雑誌の記事などを（　）にして、就職を決めた,,,,,,,,,,,,,,,,,,,,
179,さんせい,賛成（する）,"approval, agreement",みんなは彼の意見に賛成した。,Everyone agreed with his opinion.,सहमति,सबैजना उनको विचारसँग सहमत भए।,みんなは彼の意見に（　）した,,,,,,,,,,,,,,,,,,,,
180,さんち,産地,producing area,りんごを産地から東京に運ぶ。,Apples are transported from the producing area to Tokyo.,उत्पादन क्षेत्र,स्याउहरू उत्पादन क्षेत्रबाट टोकियोमा ढुवानी गरिन्छन्।,りんごを（　）から東京に運ぶ,,,,,,,,,,,,,,,,,,,,
181,しげん,資源,natural resource(s),海の資源を利用する研究が進んでいる。,The research into how to make use of the sea's natural resources is advancing.,प्राकृतिक स्रोत,समुद्रका प्राकृतिक स्रोतहरूको उपयोग कसरी गर्ने भन्ने अनुसन्धान अगाडि बढिरहेको छ।,海の（　）を利用する研究が進んでいる,,,,,,,,,,,,,,,,,,,,
182,じけん,事件,"incident, happening, case",この村は５年間事件が全く起きていない。,"In this village, no incident of any kind has happened for five years.",घटना,यस गाउँमा पाँच वर्षदेखि कुनै पनि प्रकारको घटना घटेको छैन।,この村は５年間（　）が全く起きていない,,,,,,,,,,,,,,,,,,,,
183,しじ,指示（する）,"instruction, direction",医者は看護師に手術の準備を指示した。,The doctor directed the nurse to prepare for the operation.,निर्देशन,डाक्टरले नर्सलाई अपरेशनको लागि तयारी गर्न निर्देशन दिए।,医者は看護師に手術の準備を（　）した,,,,,,,,,,,,,,,,,,,,
184,じじつ,事実,"truth, facts",新聞の記事の内容は事実と違っていた。,What was said in the newspaper article was different from the facts.,तथ्य,पत्रिकामा प्रकाशित लेखको सामग्री तथ्यभन्दा फरक थियो।,新聞の記事の内容は（　）と違っていた,,,,,,,,,,,,,,,,,,,,
185,じじょう,事情,"circumstances, conditions",事情があって、急に帰国することになった。,"Owing to the circumstances, it was suddenly decided I would return home.",परिस्थिति,"परिस्थितिका कारण, मलाई अचानक स्वदेश फर्कने निर्णय गरियो।",（　）があって、急に帰国することになった,,,,,,,,,,,,,,,,,,,,
186,じしん,自信,confidence,体力では誰にも負けない自信がある。,I am confident that no one is superior to me in physical strength.,आत्मविश्वास,मलाई विश्वास छ कि शारीरिक शक्तिमा कोही पनि मभन्दा श्रेष्ठ छैन।,体力では誰にも負けない（　）がある,,,,,,,,,,,,,,,,,,,,
187,じそく,時速,speed per hour,高速道路を時速８０キロで走った。,I sped along the highway at 80 kilometers per hour.,गति प्रति घण्टा,म राजमार्गमा प्रति घण्टा ८० किलोमिटरको गतिमा कुदें।,高速道路を（　）８０キロで走った,,,,,,,,,,,,,,,,,,,,
188,したく,支度（する）,preparation,あしたの出張の支度をする。,I'll make preparations for tomorrow's business trip.,तयारी,म भोलिको व्यापारिक यात्राको लागि तयारी गर्नेछु।,あしたの出張の（　）をする,,,,,,,,,,,,,,,,,,,,
189,しつぎょう,失業（する）,unemployment,友達が失業して、仕事を探している。,My friend is unemployed and he's looking for work.,बेरोजगार,मेरो साथी बेरोजगार छ र उसले काम खोजिरहेको छ।,友達が（　）して、仕事を探している,,,,,,,,,,,,,,,,,,,,
190,じっさい,実際,"reality, actual situation",実際の仕事は思ったより大変だった。,The actual work was harder than I thought.,वास्तविकता,वास्तविक काम मैले सोचेको भन्दा बढी कठिन थियो।,（　）の仕事は思ったより大変だった,,,,,,,,,,,,,,,,,,,,
191,じつりょく,実力,(real) ability,毎日練習したので、試合で実力を出せた。,"Because I practiced every day, I showed my abilities in the game.",क्षमता,"मैले हरेक दिन अभ्यास गरेकोले, खेलमा मेरो क्षमता देखाउन सकें।",毎日練習したので、試合で（　）を出せた,,,,,,,,,,,,,,,,,,,,
192,してん,支店,branch (store or office),来年、会社は海外に支店を出す。,Next year the company will set up a branch overseas.,शाखा,आगामी वर्ष कम्पनीले विदेशमा एउटा शाखा स्थापना गर्नेछ।,来年、会社は海外に（　）を出す,,,,,,,,,,,,,,,,,,,,
193,しどう,指導（する）,"guidance, leadership",先生がスピーチの指導をしてくださった。,My teacher coached me with my speech.,मार्गदर्शन,मेरो शिक्षकले भाषणमा मलाई मार्गदर्शन गर्नुभयो।,先生がスピーチの（　）をしてくださった,,,,,,,,,,,,,,,,,,,,
194,じむ,事務,office work,姉は学校で事務の仕事をしている。,My older sister does office work in a school.,प्रशासनिक काम,मेरी दिदीले विद्यालयमा प्रशासनिक काम गर्छिन्।,姉は学校で（　）の仕事をしている,,,,,,,,,,,,,,,,,,,,
195,しめきり,締め切り,deadline,レポートの締め切りは今月末だ。,The report's deadline is the end of this month.,अन्तिम म्याद,प्रतिवेदनको अन्तिम म्याद यो महिनाको अन्त्य हो।,レポートの（　）は今月末だ,,,,,,,,,,,,,,,,,,,,
196,じゃま,邪魔（する）,"obstacle, hindrance",勉強しているから、じゃましないで。,Don't disturb me when I'm studying.,बाधा,"म अध्ययन गरिरहेको छु, कृपया बाधा नदिनुहोस्।",勉強しているから、（　）しないで,,,,,,,,,,,,,,,,,,,,
197,じゃんけん,,"the game of ""stone, paper, scissors""",発表の順番をじゃんけんで決めた。,"We decided the order of the presentations by ""stone, paper, scissors"".","खेल (रक, कागज, कैंची)","हामीले प्रस्तुतीकरणको क्रम ""रक, कागज, कैंची"" खेलद्वारा निर्धारण गर्यौं।",発表の順番を（　）で決めた,,,,,,,,,,,,,,,,,,,,
198,しゅうかい,集会（する）,"meeting, gathering",保育所建設を要求する集会に参加した。,I participated in the meeting about the demand for building a day-care center.,सभा,मैले डे-केयर सेन्टर निर्माणको माग गर्ने सभामा भाग लिएँ।,保育所建設を要求する（　）に参加した,,,,,,,,,,,,,,,,,,,,
199,しゅうきょう,宗教,religion,私は古代の宗教について研究している。,I'm doing research into ancient religions.,धर्म,म प्राचीन धर्महरूको बारेमा अनुसन्धान गरिरहेको छु।,私は古代の（　）について研究している,,,,,,,,,,,,,,,,,,,,
200,しゅうごう,集合（する）,gathering,明日は１０時に駅前に集合してください。,Please gather in front of the station at ten tomorrow.,भेला,कृपया भोलि बिहान १० बजे स्टेशन अगाडि भेला हुनुहोस्।,明日は１０時に駅前に（　）してください,,,,,,,,,,,,,,,,,,,,
201,しゅうしょく,就職（する）,getting a job,就職するつもりだったが、進学を選んだ。,"I intended to get a job, but chose to carry on in higher education.",रोजगारी,"मैले रोजगारी पाउने योजना बनाएको थिएँ, तर उच्च शिक्षा जारी राख्न रोजें।",（　）するつもりだったが、進学を選んだ,,,,,,,,,,,,,,,,,,,,
202,しゅうちゅう,集中（する）,concentration,日本の人口の約１割が東京に集中している。,About ten percent of the population of Japan is concentrated in Tokyo.,केन्द्रित,जापानको जनसंख्याको लगभग १० प्रतिशत टोकियोमा केन्द्रित छ।,日本の人口の約１割が東京に（　）している,,,,,,,,,,,,,,,,,,,,
203,じゅうでん,充電（する）,charging (electricity),この電気自動車は家庭で充電できる。,This electric car can be charged at home.,चार्जिंग,यो विद्युतीय कार घरमै चार्जिंग गर्न सकिन्छ।,この電気自動車は家庭で（　）できる,,,,,,,,,,,,,,,,,,,,
204,しゅうり,修理（する）,repair,パソコンが故障したので、修理してもらった。,"My PC was broken, so I had it repaired.",मर्मत,"मेरो कम्प्युटर बिग्रेको थियो, त्यसैले मैले यसको मर्मत गराएँ।",パソコンが故障したので、（　）してもらった,,,,,,,,,,,,,,,,,,,,
205,しゅぎ,主義,"principle, doctrine",姉は肉や魚を食べない主義だ。,"It's a principle of my older sister's to not eat meat, fish and the like.",सिद्धान्त,मेरी दिदीको सिद्धान्त अनुसार उनी मासु र माछा खाँदिनन्।,姉は肉や魚を食べない（　）だ,,,,,,,,,,,,,,,,,,,,
206,しゅくしょう,縮小（する）,"reduction, decrease",予算が少なくなったので、計画を縮小した。,"Because the budget became less, we scaled down the plan.",घटाउनु,"बजेट कम भएकोले, हामीले योजना घटायौं।",予算が少なくなったので、計画を（　）した,,,,,,,,,,,,,,,,,,,,
207,じゅしん,受信（する）,"reception, receiving",受信したメールは全部とってある。,All the e-mail I've received has been saved.,प्राप्ति,मैले प्राप्त गरेका सबै इमेलहरू संरक्षित गरिएका छन्।,（　）したメールは全部とってある,,,,,,,,,,,,,,,,,,,,
208,しゅっきん,出勤（する）,attendance (at work),毎朝、新聞を読んでから出勤する。,"Every morning, I read the paper and then go to work.",काममा जानु,म हरेक बिहान पत्रिका पढेर काममा जान्छु।,毎朝、新聞を読んでから（　）する,,,,,,,,,,,,,,,,,,,,
209,しゅつじょう,出場（する）,"participation (in a game, competition, etc.)",学校の代表がスピーチ大会に出場する。,A representative from our school participates in the speech contest.,भाग लिनु,हाम्रो विद्यालयका प्रतिनिधिले वक्तृत्व प्रतियोगितामा भाग लिन्छन्।,学校の代表がスピーチ大会に（　）する,,,,,,,,,,,,,,,,,,,,
210,しゅっちょう,出張（する）,business trip,兄は上海に２週間出張しています。,My older brother is on a two-week business trip to Shanghai.,व्यापारिक यात्रा,मेरो दाइ शंघाईमा दुई हप्ताको व्यापारिक यात्रामा हुनुहुन्छ।,兄は上海に２週間（　）しています,,,,,,,,,,,,,,,,,,,,
211,しゅるい,種類,"kind, type, variety",日本の文字の種類は３つだ。,There are three types of characters in Japanese.,प्रकार,जापानी भाषामा तीन प्रकारका अक्षरहरू छन्।,日本の文字の（　）は３つだ,,,,,,,,,,,,,,,,,,,,
212,じゅんじょ,順序,"order, sequence",作業の順序を間違えないでください。,Please don't make a mistake with the order of the work.,क्रम,कृपया कामको क्रममा गल्ती नगर्नुहोस्।,作業の（　）を間違えないでください,,,,,,,,,,,,,,,,,,,,
213,じゅんばん,順番,order,順番にお呼びしますので、お待ちください。,"I'll call you in order, so please wait a moment.",पालो,"म तपाईंलाई पालो अनुसार बोलाउनेछु, त्यसैले कृपया प्रतीक्षा गर्नुहोस्।",（　）にお呼びしますので、お待ちください,,,,,,,,,,,,,,,,,,,,
214,しよう,使用（する）,"use, employment",部屋を使用したあとは、電気を消すこと。,Switch off the lights after using the room.,प्रयोग,"कोठा प्रयोग गरेपछि, बत्ती बन्द गर्नुहोस्।",部屋を（　）したあとは、電気を消すこと,,,,,,,,,,,,,,,,,,,,
215,しょうぎょう,商業,"commerce, trade",大阪は昔から商業が盛んだった。,Commerce has flourished in Osaka for a long time.,व्यापार,ओसाकामा लामो समयदेखि व्यापार फस्टाएको छ।,大阪は昔から（　）が盛んだった,,,,,,,,,,,,,,,,,,,,
216,じょうけん,条件,"condition, terms",仕事の条件を確かめる。,I'll confirm the job conditions.,शर्त,म रोजगारीको शर्तहरू पुष्टि गर्नेछु।,仕事の（　）を確かめる,,,,,,,,,,,,,,,,,,,,
217,じょうしき,常識,common sense,夜中に電話をするなんて、常識がない人だ。,"How rude he is, for phoning up in the middle of the night!",सामान्य ज्ञान,"उनी कति अशिष्ट छन्, रातको मध्यमा फोन गरेर!",夜中に電話をするなんて、（　）がない人だ,,,,,,,,,,,,,,,,,,,,
218,しょうたい,招待（する）,invitation,友人をパーティーに招待した。,I invited friends to a party.,निमन्त्रणा,मैले मेरा साथीहरूलाई पार्टीमा निमन्त्रणा दिएँ।,友人をパーティーに（　）した,,,,,,,,,,,,,,,,,,,,
219,じょうたい,状態,"condition, state",毎朝、医師は入院患者の状態をチェックする。,"Every morning, the doctor checks the condition of the patients.",अवस्था,"हरेक बिहान, डाक्टरले बिरामीहरूको अवस्था जाँच गर्छन्।",毎朝、医師は入院患者の（　）をチェックする,,,,,,,,,,,,,,,,,,,,
220,じょうだん,冗談,joke,彼の冗談がおかしくて、皆が大笑いした。,"Because his joke was funny, everyone burst out laughing.",ठट्टा,उनको ठट्टा यति मजेदार थियो कि सबैजना हाँस्न थाले।,彼の（　）がおかしくて、皆が大笑いした,,,,,,,,,,,,,,,,,,,,
221,しょうち,承知（する）,"consent, agreement",予約の変更ですね。承知しました。,"You'd like to change your reservation, correct? All right.",स्वीकृति,"तपाईं आफ्नो आरक्षण परिवर्तन गर्न चाहनुहुन्छ, होइन? ठिक छ।",予約の変更ですね。（　）しました,,,,,,,,,,,,,,,,,,,,
222,しょうひん,商品,"merchandise, goods",新しい商品の販売方法を考える。,I'll think about how to sell the new merchandise.,वस्तु,म नयाँ वस्तु कसरी बेच्ने भन्ने बारे सोच्नेछु।,新しい（　）の販売方法を考える,,,,,,,,,,,,,,,,,,,,
223,じょうほう,情報,information,ネットで欲しい情報を集めた。,I gathered the information I wanted from the Internet.,जानकारी,मैले इन्टरनेटबाट चाहेको जानकारी संकलन गरें।,ネットで欲しい（　）を集めた,,,,,,,,,,,,,,,,,,,,
224,しょうめいしょ,証明書,"certificate, diploma, transcript",卒業証明書を受験の大学に送った。,I sent my school transcript to the university I'll take exams for.,प्रमाणपत्र,मैले मेरो विद्यालयको प्रमाणपत्र परीक्षा दिने विश्वविद्यालयमा पठाएँ।,卒業（　）を受験の大学に送った,,,,,,,,,,,,,,,,,,,,
225,しょうめん,正面,the front,ホテルに入ると、正面にフロントがあった。,"When I entered the hotel, the reception was at the front.",अगाडि,"जब म होटलमा प्रवेश गरें, रिसेप्सन अगाडि थियो।",ホテルに入ると、（　）にフロントがあった,,,,,,,,,,,,,,,,,,,,
226,しょくば,職場,workplace,職場まで家から１時間かかる。,It takes an hour to my workplace from my house.,कार्यस्थल,मेरो घरबाट कार्यस्थलसम्म पुग्न एक घण्टा लाग्छ।,（　）まで家から１時間かかる,,,,,,,,,,,,,,,,,,,,
227,ショック,,shock,彼に恋人がいたことにショックを受けた。,I was greatly shocked that he had had a lover.,धक्का,उनको प्रेमी भएको थाहा पाउँदा मलाई धक्का लाग्यो।,彼に恋人がいたことに（　）を受けた,,,,,,,,,,,,,,,,,,,,
228,しょめい,署名（する）,"sign, signature",内容に問違いがなければ、署名してください。,"If there is nothing wrong with the content, please sign it.",हस्ताक्षर,"यदि सामग्रीमा केही गलत छैन भने, कृपया हस्ताक्षर गर्नुहोस्।",内容に問違いがなければ、（　）してください,,,,,,,,,,,,,,,,,,,,
229,しょるい,書類,document,ビザを延長するために、書類をそろえた。,I prepared the documents to extend my visa.,कागजात,मैले मेरो भिसा थप्नको लागि कागजातहरू तयार गरें।,ビザを延長するために、（　）をそろえた,,,,,,,,,,,,,,,,,,,,
230,しりつ/わたくしりつ,私立,private,弟は私立の大学を受験する。,My younger brother is taking the exam for a private university.,निजी,मेरो भाइले निजी विश्वविद्यालयको परीक्षा दिँदैछ।,弟は（　）の大学を受験する,,,,,,,,,,,,,,,,,,,,
231,しりょう,資料,"materials, data",会議の資料を準備しておいてください。,Please get the data ready for the meeting.,सामग्री,कृपया बैठकको लागि सामग्री तयार पार्नुहोस्।,会議の（　）を準備しておいてください,,,,,,,,,,,,,,,,,,,,
232,しるし,印,mark,地図に目的地の印を付けておいた。,I marked the place I wanted to go to on the map.,चिन्ह,मैले नक्सामा जान चाहेको ठाउँमा चिन्ह लगाएँ।,地図に目的地の（　）を付けておいた,,,,,,,,,,,,,,,,,,,,
233,シングル,,single,ホテルの部屋はシングルを予約した。,I reserved a single hotel room.,एकल,मैले होटलमा एकल कोठा आरक्षण गरें।,ホテルの部屋は（　）を予約した,,,,,,,,,,,,,,,,,,,,
234,じんせい,人生,life,死ぬときに後悔しないような人生を送りたい。,I will want to have spent a life with no regrets when I die.,जीवन,म मृत्युको बेलामा कुनै पछुतो नभएको जीवन जिएको हुन चाहन्छु।,死ぬときに後悔しないような（　）を送りたい,,,,,,,,,,,,,,,,,,,,
235,しんぽ,進歩（する）,progress,科学技術は確実に進歩している。,Technology is definitely progressing.,प्रगति,प्रविधि निश्चित रूपमा प्रगति गरिरहेको छ।,科学技術は確実に（　）している,,,,,,,,,,,,,,,,,,,,
236,しんよう,信用（する）,"trust, confidence",あの人は真面目で、信用できる人だ。,That person is a serious and trustworthy person.,विश्वास,ती व्यक्ति गम्भीर र विश्वासयोग्य छन्।,あの人は真面目で、（　）できる人だ,,,,,,,,,,,,,,,,,,,,
237,しんり,心理,mental/psychological state,高校生のころの心理は複雑だ。,Your mental state is complicated in your high school days.,मनोविज्ञान,उच्च माध्यमिक विद्यालयका दिनहरूमा तपाईंको मानसिक अवस्था जटिल हुन्छ।,高校生のころの（　）は複雑だ,,,,,,,,,,,,,,,,,,,,
238,スケジュール,,schedule,明日のスケジュールを変更することにした。,I decided to change tomorrow's schedule.,कार्यतालिका,मैले भोलिको कार्यतालिका परिवर्तन गर्ने निर्णय गरेँ।,明日の（　）を変更することにした,,,,,,,,,,,,,,,,,,,,
239,スタイル,,"style, figure",彼女は足が長くて、スタイルがいい。,She has long legs and a good figure.,शैली,उनको खुट्टा लामो छ र राम्रो आकृति छ।,彼女は足が長くて、（　）がいい,,,,,,,,,,,,,,,,,,,,
240,スピーチ,,speech,友達の結婚式でスピーチをした。,I made a speech at my friend's wedding ceremony.,भाषण,मैले मेरो साथीको विवाह समारोहमा भाषण दिएँ।,友達の結婚式で（　）をした,,,,,,,,,,,,,,,,,,,,
241,すり,,pickpocket,混雑した電車の中では、すりに気を付けよう。,Beware of pickpockets in crowded trains.,जेबकतरे,भीड भएको रेलमा जेबकतरेहरूबाट सावधान रहनुहोस्।,混雑した電車の中では、（　）に気を付けよう,,,,,,,,,,,,,,,,,,,,
242,せいげん,制限（する）,limit,スピードの制限を守って車を運転しよう。,Drive keeping the speed limit.,सीमा,गति सीमा पालना गरेर गाडी चलाऔं।,スピードの（　）を守って車を運転しよう,,,,,,,,,,,,,,,,,,,,
243,せいこう,成功（する）,success,いつか成功すると信じて頑張っている。,I believe that one day I'll succeed so I'm doing my best.,सफलता,म विश्वास गर्छु कि एक दिन म सफल हुनेछु त्यसैले मेरो सर्वश्रेष्ठ प्रयास गरिरहेको छु।,いつか（　）すると信じて頑張っている,,,,,,,,,,,,,,,,,,,,
